Variable,index0,index1,I.val,P.val,index,Pgd.val,Ps.val,Q.val,Qgd.val,Qs.val,V.val
Pgd,,,,,31.0,0.35768017410242653,,,,,
Pgd,,,,,32.0,4.989584451281536e-06,,,,,
Pgd,,,,,33.0,0.2705892686905165,,,,,
Ps,,,,,1.0,,-5.0,,,,
Ps,,,,,2.0,,0.0,,,,
Ps,,,,,3.0,,0.0,,,,
Ps,,,,,4.0,,0.0,,,,
Ps,,,,,5.0,,0.0,,,,
Ps,,,,,6.0,,0.0,,,,
Ps,,,,,7.0,,0.0,,,,
Ps,,,,,8.0,,0.0,,,,
Ps,,,,,9.0,,0.0,,,,
Ps,,,,,10.0,,0.0,,,,
Ps,,,,,11.0,,0.0,,,,
Ps,,,,,12.0,,0.0,,,,
Ps,,,,,13.0,,0.0,,,,
Ps,,,,,14.0,,0.0,,,,
Ps,,,,,15.0,,0.0,,,,
Ps,,,,,16.0,,0.0,,,,
Ps,,,,,17.0,,0.0,,,,
Ps,,,,,18.0,,0.0,,,,
Ps,,,,,19.0,,0.0,,,,
Ps,,,,,20.0,,0.0,,,,
Ps,,,,,21.0,,0.0,,,,
Ps,,,,,22.0,,0.0,,,,
Ps,,,,,23.0,,0.0,,,,
Ps,,,,,24.0,,0.0,,,,
Ps,,,,,25.0,,0.0,,,,
Ps,,,,,26.0,,0.0,,,,
Ps,,,,,27.0,,0.0,,,,
Ps,,,,,28.0,,0.0,,,,
Ps,,,,,29.0,,0.0,,,,
Ps,,,,,30.0,,0.0,,,,
Ps,,,,,31.0,,0.0,,,,
Ps,,,,,32.0,,0.0,,,,
Ps,,,,,33.0,,0.0,,,,
Q,1.0,2.0,,,,,,2.6040259407453985,,,
Q,2.0,3.0,,,,,,2.2868630319830126,,,
Q,2.0,19.0,,,,,,0.2330292573476616,,,
Q,3.0,4.0,,,,,,1.774188526667986,,,
Q,3.0,23.0,,,,,,0.45484939677728625,,,
Q,4.0,5.0,,,,,,1.677171138947811,,,
Q,5.0,6.0,,,,,,1.5838438093002682,,,
Q,6.0,7.0,,,,,,0.5383302508438698,,,
Q,6.0,26.0,,,,,,1.0151198439244713,,,
Q,7.0,8.0,,,,,,0.4354366095531357,,,
Q,8.0,9.0,,,,,,0.32409160992511943,,,
Q,9.0,10.0,,,,,,0.29196657988101626,,,
Q,10.0,11.0,,,,,,0.27174027900134917,,,
Q,11.0,12.0,,,,,,0.2416924770569393,,,
Q,12.0,13.0,,,,,,0.20640316923692853,,,
Q,13.0,14.0,,,,,,0.17128227048893463,,,
Q,14.0,15.0,,,,,,0.09119728362551219,,,
Q,15.0,16.0,,,,,,0.08105068993059505,,,
Q,16.0,17.0,,,,,,0.060343460784817636,,,
Q,17.0,18.0,,,,,,0.04,,,
Q,19.0,20.0,,,,,,0.1337775723917529,,,
Q,20.0,21.0,,,,,,0.08451899977127768,,,
Q,21.0,22.0,,,,,,0.04,,,
Q,23.0,24.0,,,,,,0.400970234755211,,,
Q,24.0,25.0,,,,,,0.2,,,
Q,26.0,27.0,,,,,,0.9837949421310762,,,
Q,27.0,28.0,,,,,,0.9173177641430125,,,
Q,28.0,29.0,,,,,,0.8826284622221762,,,
Q,29.0,30.0,,,,,,0.8106549285807185,,,
Q,30.0,31.0,,,,,,0.2101781110306458,,,
Q,31.0,32.0,,,,,,0.14013786632784905,,,
Q,32.0,33.0,,,,,,0.04,,,
Qgd,,,,,1.0,,,,0.0,,
Qgd,,,,,2.0,,,,0.0,,
Qgd,,,,,3.0,,,,0.0,,
Qgd,,,,,4.0,,,,0.0,,
Qgd,,,,,5.0,,,,0.0,,
Qgd,,,,,6.0,,,,0.0,,
Qgd,,,,,7.0,,,,0.0,,
Qgd,,,,,8.0,,,,0.0,,
Qgd,,,,,9.0,,,,0.0,,
Qgd,,,,,10.0,,,,0.0,,
Qgd,,,,,11.0,,,,0.0,,
Qgd,,,,,12.0,,,,0.0,,
Qgd,,,,,13.0,,,,0.0,,
Qgd,,,,,14.0,,,,0.0,,
Qgd,,,,,15.0,,,,0.0,,
Qgd,,,,,16.0,,,,0.0,,
Qgd,,,,,17.0,,,,0.0,,
Qgd,,,,,18.0,,,,0.0,,
Qgd,,,,,19.0,,,,0.0,,
Qgd,,,,,20.0,,,,0.0,,
Qgd,,,,,21.0,,,,0.0,,
Qgd,,,,,22.0,,,,0.0,,
Qgd,,,,,23.0,,,,0.0,,
Qgd,,,,,24.0,,,,0.0,,
Qgd,,,,,25.0,,,,0.0,,
Qgd,,,,,26.0,,,,0.0,,
Qgd,,,,,27.0,,,,0.0,,
Qgd,,,,,28.0,,,,0.0,,
Qgd,,,,,29.0,,,,0.0,,
Qgd,,,,,30.0,,,,0.0,,
Qgd,,,,,31.0,,,,0.0,,
Qgd,,,,,32.0,,,,0.0,,
Qgd,,,,,33.0,,,,0.0,,
Qs,,,,,1.0,,,,,2.6133596670840396,
Qs,,,,,2.0,,,,,0.0,
Qs,,,,,3.0,,,,,0.0,
Qs,,,,,4.0,,,,,0.0,
Qs,,,,,5.0,,,,,0.0,
Qs,,,,,6.0,,,,,0.0,
Qs,,,,,7.0,,,,,0.0,
Qs,,,,,8.0,,,,,0.0,
Qs,,,,,9.0,,,,,0.0,
Qs,,,,,10.0,,,,,0.0,
Qs,,,,,11.0,,,,,0.0,
Qs,,,,,12.0,,,,,0.0,
Qs,,,,,13.0,,,,,0.0,
Qs,,,,,14.0,,,,,0.0,
Qs,,,,,15.0,,,,,0.0,
Qs,,,,,16.0,,,,,0.0,
Qs,,,,,17.0,,,,,0.0,
Qs,,,,,18.0,,,,,0.0,
Qs,,,,,19.0,,,,,0.0,
Qs,,,,,20.0,,,,,0.0,
Qs,,,,,21.0,,,,,0.0,
Qs,,,,,22.0,,,,,0.0,
Qs,,,,,23.0,,,,,0.0,
Qs,,,,,24.0,,,,,0.0,
Qs,,,,,25.0,,,,,0.0,
Qs,,,,,26.0,,,,,0.0,
Qs,,,,,27.0,,,,,0.0,
Qs,,,,,28.0,,,,,0.0,
Qs,,,,,29.0,,,,,0.0,
Qs,,,,,30.0,,,,,0.0,
Qs,,,,,31.0,,,,,0.0,
Qs,,,,,32.0,,,,,0.0,
Qs,,,,,33.0,,,,,0.0,
V,,,,,1.0,,,,,,1.0
V,,,,,2.0,,,,,,1.0021143582925138
V,,,,,3.0,,,,,,1.005252520356119
V,,,,,4.0,,,,,,1.0105658859203792
V,,,,,5.0,,,,,,1.016539691637104
V,,,,,6.0,,,,,,1.027159855009536
V,,,,,7.0,,,,,,1.0264579517937655
V,,,,,8.0,,,,,,1.031777770265621
V,,,,,9.0,,,,,,1.0401718382084884
V,,,,,10.0,,,,,,1.0492455864698262
V,,,,,11.0,,,,,,1.05
V,,,,,12.0,,,,,,1.0496021430026996
V,,,,,13.0,,,,,,1.0478455220753584
V,,,,,14.0,,,,,,1.0471876667799924
V,,,,,15.0,,,,,,1.0474006603577348
V,,,,,16.0,,,,,,1.0480344349738957
V,,,,,17.0,,,,,,1.0494237927129957
V,,,,,18.0,,,,,,1.05
V,,,,,19.0,,,,,,1.0048868114858944
V,,,,,20.0,,,,,,1.0283220793747578
V,,,,,21.0,,,,,,1.032558223923088
V,,,,,22.0,,,,,,1.0362031535071765
V,,,,,23.0,,,,,,1.0017481950248863
V,,,,,24.0,,,,,,0.9952287077125572
V,,,,,25.0,,,,,,0.99196667848777
V,,,,,26.0,,,,,,1.029537771970672
V,,,,,27.0,,,,,,1.0329870588225607
V,,,,,28.0,,,,,,1.0443114368837685
V,,,,,29.0,,,,,,1.0487434109760738
V,,,,,30.0,,,,,,1.05
V,,,,,31.0,,,,,,1.049999997729748
V,,,,,32.0,,,,,,1.049699450562235
V,,,,,33.0,,,,,,1.05
