
param Generacion :=
1 13 17 0.5217
1 13 18 0.2834
1 13 19 0.108
1 13 20 0.0
1 13 21 0.0
1 13 22 0.0
1 13 23 0.0
1 13 24 0.0
1 14 1 0.0
1 14 2 0.0
1 14 3 0.0
1 14 4 0.0
1 14 5 0.0
1 14 6 0.0966
1 14 7 0.2834
1 14 8 0.5462
1 14 9 0.6575
1 14 10 0.8021
1 14 11 0.9851
1 14 12 0.9565
1 14 13 0.9996
1 14 14 0.9178
1 14 15 0.9209
1 14 16 0.7159
1 14 17 0.4695
1 14 18 0.2786
1 14 19 0.1041
1 14 20 0.0
1 14 21 0.0
1 14 22 0.0
1 14 23 0.0
1 14 24 0.0
1 15 1 0.0
1 15 2 0.0
1 15 3 0.0
1 15 4 0.0
1 15 5 0.0
1 15 6 0.0953
1 15 7 0.2838
1 15 8 0.468
1 15 9 0.6945
1 15 10 0.9061
1 15 11 0.9418
1 15 12 0.9218
1 15 13 0.9989
1 15 14 0.8536
1 15 15 0.8694
1 15 16 0.6735
1 15 17 0.4596
1 15 18 0.3244
1 15 19 0.0909
1 15 20 0.0
1 15 21 0.0
1 15 22 0.0
1 15 23 0.0
1 15 24 0.0
1 16 1 0.0
1 16 2 0.0
1 16 3 0.0
1 16 4 0.0
1 16 5 0.0
1 16 6 0.0986
1 16 7 0.3116
1 16 8 0.5495
1 16 9 0.6416
1 16 10 0.9075
1 16 11 0.959
1 16 12 0.9125
1 16 13 0.9327
1 16 14 0.9599
1 16 15 0.8203
1 16 16 0.734
1 16 17 0.4904
1 16 18 0.3052
1 16 19 0.1043
1 16 20 0.0
1 16 21 0.0
1 16 22 0.0
1 16 23 0.0
1 16 24 0.0
1 17 1 0.0
1 17 2 0.0
1 17 3 0.0
1 17 4 0.0
1 17 5 0.0
1 17 6 0.09
1 17 7 0.2984
1 17 8 0.5244
1 17 9 0.6624
1 17 10 0.8483
1 17 11 0.9374
1 17 12 0.9426
1 17 13 0.9252
1 17 14 0.9484
1 17 15 0.9212
1 17 16 0.7124
1 17 17 0.5452
1 17 18 0.3011
1 17 19 0.095
1 17 20 0.0
1 17 21 0.0
1 17 22 0.0
1 17 23 0.0
1 17 24 0.0
1 18 1 0.0
1 18 2 0.0
1 18 3 0.0
1 18 4 0.0
1 18 5 0.0
1 18 6 0.0932
1 18 7 0.3015
1 18 8 0.5397
1 18 9 0.6979
1 18 10 0.832
1 18 11 0.8599
1 18 12 1.0897
1 18 13 0.8991
1 18 14 0.9766
1 18 15 0.7838
1 18 16 0.6849
1 18 17 0.4875
1 18 18 0.3297
1 18 19 0.0948
1 18 20 0.0
1 18 21 0.0
1 18 22 0.0
1 18 23 0.0
1 18 24 0.0
1 19 1 0.0
1 19 2 0.0
1 19 3 0.0
1 19 4 0.0
1 19 5 0.0
1 19 6 0.1004
1 19 7 0.318
1 19 8 0.4792
1 19 9 0.6617
1 19 10 0.8322
1 19 11 0.9345
1 19 12 0.9049
1 19 13 0.8842
1 19 14 0.984
1 19 15 0.9278
1 19 16 0.746
1 19 17 0.5052
1 19 18 0.3146
1 19 19 0.0905
1 19 20 0.0
1 19 21 0.0
1 19 22 0.0
1 19 23 0.0
1 19 24 0.0
1 20 1 0.0
1 20 2 0.0
1 20 3 0.0
1 20 4 0.0
1 20 5 0.0
1 20 6 0.1013
1 20 7 0.2909
1 20 8 0.5207
1 20 9 0.7059
1 20 10 0.8748
1 20 11 0.9882
1 20 12 0.9115
1 20 13 0.9491
1 20 14 0.9427
1 20 15 0.8731
1 20 16 0.6467
1 20 17 0.4758
1 20 18 0.3005
1 20 19 0.1091
1 20 20 0.0
1 20 21 0.0
1 20 22 0.0
1 20 23 0.0
1 20 24 0.0
1 21 1 0.0
1 21 2 0.0
1 21 3 0.0
1 21 4 0.0
1 21 5 0.0
1 21 6 0.0936
1 21 7 0.298
1 21 8 0.5261
1 21 9 0.7511
1 21 10 0.8217
1 21 11 0.9519
1 21 12 1.0658
1 21 13 1.0469
1 21 14 0.9698
1 21 15 0.8115
1 21 16 0.6594
1 21 17 0.4813
1 21 18 0.2901
1 21 19 0.0995
1 21 20 0.0
1 21 21 0.0
1 21 22 0.0
1 21 23 0.0
1 21 24 0.0
1 22 1 0.0
1 22 2 0.0
1 22 3 0.0
1 22 4 0.0
1 22 5 0.0
1 22 6 0.0925
1 22 7 0.3276
1 22 8 0.5033
1 22 9 0.6958
1 22 10 0.9061
1 22 11 0.9625
1 22 12 0.9581
1 22 13 0.9498
1 22 14 0.8323
1 22 15 0.848
1 22 16 0.7138
1 22 17 0.5417
1 22 18 0.3294
1 22 19 0.0961
1 22 20 0.0
1 22 21 0.0
1 22 22 0.0
1 22 23 0.0
1 22 24 0.0
1 23 1 0.0
1 23 2 0.0
1 23 3 0.0
1 23 4 0.0
1 23 5 0.0
1 23 6 0.0955
1 23 7 0.2987
1 23 8 0.5234
1 23 9 0.6572
1 23 10 0.8855
1 23 11 0.8972
1 23 12 1.0236
1 23 13 1.0754
1 23 14 0.9236
1 23 15 0.832
1 23 16 0.7294
1 23 17 0.452
1 23 18 0.3297
1 23 19 0.1028
1 23 20 0.0
1 23 21 0.0
1 23 22 0.0
1 23 23 0.0
1 23 24 0.0
1 24 1 0.0
1 24 2 0.0
1 24 3 0.0
1 24 4 0.0
1 24 5 0.0
1 24 6 0.0901
1 24 7 0.325
1 24 8 0.4889
1 24 9 0.7233
1 24 10 0.8055
1 24 11 1.0317
1 24 12 0.9641
1 24 13 0.9942
1 24 14 0.9715
1 24 15 0.8657
1 24 16 0.7523
1 24 17 0.4691
1 24 18 0.2887
1 24 19 0.1098
1 24 20 0.0
1 24 21 0.0
1 24 22 0.0
1 24 23 0.0
1 24 24 0.0
1 25 1 0.0
1 25 2 0.0
1 25 3 0.0
1 25 4 0.0
1 25 5 0.0
1 25 6 0.0992
1 25 7 0.28
1 25 8 0.4652
1 25 9 0.6786
1 25 10 0.912
1 25 11 0.9785
1 25 12 1.0691
1 25 13 1.0572
1 25 14 0.8668
1 25 15 0.7842
1 25 16 0.7079
1 25 17 0.5309
1 25 18 0.2958
1 25 19 0.0977
1 25 20 0.0
1 25 21 0.0
1 25 22 0.0
1 25 23 0.0
1 25 24 0.0
1 26 1 0.0
1 26 2 0.0
1 26 3 0.0
1 26 4 0.0
1 26 5 0.0
1 26 6 0.0923
1 26 7 0.2949
1 26 8 0.4916
1 26 9 0.7447
1 26 10 0.8919
1 26 11 0.9993
1 26 12 1.0005
1 26 13 0.984
1 26 14 0.9568
1 26 15 0.8516
1 26 16 0.7197
1 26 17 0.5104
1 26 18 0.2914
1 26 19 0.0992
1 26 20 0.0
1 26 21 0.0
1 26 22 0.0
1 26 23 0.0
1 26 24 0.0
1 27 1 0.0
1 27 2 0.0
1 27 3 0.0
1 27 4 0.0
1 27 5 0.0
1 27 6 0.0994
1 27 7 0.2912
1 27 8 0.5058
1 27 9 0.6366
1 27 10 0.8318
1 27 11 0.9437
1 27 12 0.9014
1 27 13 0.8964
1 27 14 0.8479
1 27 15 0.9093
1 27 16 0.6859
1 27 17 0.4953
1 27 18 0.3028
1 27 19 0.0946
1 27 20 0.0
1 27 21 0.0
1 27 22 0.0
1 27 23 0.0
1 27 24 0.0
1 28 1 0.0
1 28 2 0.0
1 28 3 0.0
1 28 4 0.0
1 28 5 0.0
1 28 6 0.1034
1 28 7 0.2984
1 28 8 0.4613
1 28 9 0.6761
1 28 10 0.8459
1 28 11 0.8638
1 28 12 0.9828
1 28 13 0.9923
1 28 14 1.0025
1 28 15 0.8208
1 28 16 0.7334
1 28 17 0.4935
1 28 18 0.2832
1 28 19 0.1078
1 28 20 0.0
1 28 21 0.0
1 28 22 0.0
1 28 23 0.0
1 28 24 0.0
1 29 1 0.0
1 29 2 0.0
1 29 3 0.0
1 29 4 0.0
1 29 5 0.0
1 29 6 0.0932
1 29 7 0.277
1 29 8 0.5498
1 29 9 0.6803
1 29 10 0.9075
1 29 11 0.9081
1 29 12 1.0708
1 29 13 1.0083
1 29 14 0.9738
1 29 15 0.9033
1 29 16 0.6916
1 29 17 0.5401
1 29 18 0.2903
1 29 19 0.1037
1 29 20 0.0
1 29 21 0.0
1 29 22 0.0
1 29 23 0.0
1 29 24 0.0
1 30 1 0.0
1 30 2 0.0
1 30 3 0.0
1 30 4 0.0
1 30 5 0.0
1 30 6 0.1023
1 30 7 0.3257
1 30 8 0.4992
1 30 9 0.7533
1 30 10 0.8265
1 30 11 0.914
1 30 12 0.9633
1 30 13 1.0625
1 30 14 0.916
1 30 15 0.808
1 30 16 0.651
1 30 17 0.5258
1 30 18 0.2965
1 30 19 0.0959
1 30 20 0.0
1 30 21 0.0
1 30 22 0.0
1 30 23 0.0
1 30 24 0.0
1 31 1 0.0
1 31 2 0.0
1 31 3 0.0
1 31 4 0.0
1 31 5 0.0
1 31 6 0.0905
1 31 7 0.2995
1 31 8 0.4571
1 31 9 0.7179
1 31 10 0.8793
1 31 11 0.881
1 31 12 0.925
1 31 13 0.9385
1 31 14 0.9336
1 31 15 0.7912
1 31 16 0.7095
1 31 17 0.4766
1 31 18 0.2792
1 31 19 0.1038
1 31 20 0.0
1 31 21 0.0
1 31 22 0.0
1 31 23 0.0
1 31 24 0.0
1 32 1 0.0
1 32 2 0.0
1 32 3 0.0
1 32 4 0.0
1 32 5 0.0
1 32 6 0.103
1 32 7 0.2778
1 32 8 0.5171
1 32 9 0.7671
1 32 10 0.8552
1 32 11 0.9426
1 32 12 0.9113
1 32 13 0.9754
1 32 14 0.9393
1 32 15 0.7718
1 32 16 0.7036
1 32 17 0.5353
1 32 18 0.3083
1 32 19 0.1026
1 32 20 0.0
1 32 21 0.0
1 32 22 0.0
1 32 23 0.0
1 32 24 0.0
1 33 1 0.0
1 33 2 0.0
1 33 3 0.0
1 33 4 0.0
1 33 5 0.0
1 33 6 0.1054
1 33 7 0.3085
1 33 8 0.5029
1 33 9 0.6728
1 33 10 0.9311
1 33 11 0.9433
1 33 12 0.9422
1 33 13 0.9744
1 33 14 0.9643
1 33 15 0.7859
1 33 16 0.7424
1 33 17 0.5206
1 33 18 0.316
1 33 19 0.0964
1 33 20 0.0
1 33 21 0.0
1 33 22 0.0
1 33 23 0.0
1 33 24 0.0
2 2 1 0.0
2 2 2 0.0
2 2 3 0.0
2 2 4 0.0
2 2 5 0.0
2 2 6 0.0992
2 2 7 0.3039
2 2 8 0.4563
2 2 9 0.7365
2 2 10 0.9136
2 2 11 0.9843
2 2 12 0.9194
2 2 13 0.9393
2 2 14 0.9176
2 2 15 0.9249
2 2 16 0.7601
2 2 17 0.4644
2 2 18 0.328
2 2 19 0.1072
2 2 20 0.0
2 2 21 0.0
2 2 22 0.0
2 2 23 0.0
2 2 24 0.0
2 3 1 0.0
2 3 2 0.0
2 3 3 0.0
2 3 4 0.0
2 3 5 0.0
2 3 6 0.093
2 3 7 0.3113
2 3 8 0.508
2 3 9 0.7382
2 3 10 0.8011
2 3 11 0.8584
2 3 12 0.9711
2 3 13 0.9903
2 3 14 1.0107
2 3 15 0.8624
2 3 16 0.6803
2 3 17 0.4565
2 3 18 0.298
2 3 19 0.102
2 3 20 0.0
2 3 21 0.0
2 3 22 0.0
2 3 23 0.0
2 3 24 0.0
2 4 1 0.0
2 4 2 0.0
2 4 3 0.0
2 4 4 0.0
2 4 5 0.0
2 4 6 0.1016
2 4 7 0.3111
2 4 8 0.4656
2 4 9 0.6884
2 4 10 0.8378
2 4 11 0.9868
2 4 12 0.9513
2 4 13 0.9205
2 4 14 0.9819
2 4 15 0.8833
2 4 16 0.7447
2 4 17 0.5176
2 4 18 0.3163
2 4 19 0.1094
2 4 20 0.0
2 4 21 0.0
2 4 22 0.0
2 4 23 0.0
2 4 24 0.0
2 5 1 0.0
2 5 2 0.0
2 5 3 0.0
2 5 4 0.0
2 5 5 0.0
2 5 6 0.1049
2 5 7 0.2852
2 5 8 0.5226
2 5 9 0.7188
2 5 10 0.923
2 5 11 1.0002
2 5 12 1.071
2 5 13 0.9901
2 5 14 0.9984
2 5 15 0.8609
2 5 16 0.6726
2 5 17 0.4564
2 5 18 0.291
2 5 19 0.0949
2 5 20 0.0
2 5 21 0.0
2 5 22 0.0
2 5 23 0.0
2 5 24 0.0
2 6 1 0.0
2 6 2 0.0
2 6 3 0.0
2 6 4 0.0
2 6 5 0.0
2 6 6 0.0974
2 6 7 0.3161
2 6 8 0.5315
2 6 9 0.6883
2 6 10 0.864
2 6 11 0.97
2 6 12 0.9649
2 6 13 1.035
2 6 14 0.8384
2 6 15 0.8185
2 6 16 0.7319
2 6 17 0.5335
2 6 18 0.3282
2 6 19 0.0993
2 6 20 0.0
2 6 21 0.0
2 6 22 0.0
2 6 23 0.0
2 6 24 0.0
2 7 1 0.0
2 7 2 0.0
2 7 3 0.0
2 7 4 0.0
2 7 5 0.0
2 7 6 0.1023
2 7 7 0.3213
2 7 8 0.4529
2 7 9 0.7112
2 7 10 0.7715
2 7 11 0.8918
2 7 12 0.9822
2 7 13 0.9829
2 7 14 0.885
2 7 15 0.8465
2 7 16 0.6535
2 7 17 0.4689
2 7 18 0.3038
2 7 19 0.0923
2 7 20 0.0
2 7 21 0.0
2 7 22 0.0
2 7 23 0.0
2 7 24 0.0
2 8 1 0.0
2 8 2 0.0
2 8 3 0.0
2 8 4 0.0
2 8 5 0.0
2 8 6 0.0991
2 8 7 0.3182
2 8 8 0.5307
2 8 9 0.702
2 8 10 0.8244
2 8 11 1.0052
2 8 12 0.9197
2 8 13 1.0133
2 8 14 0.9084
2 8 15 0.7692
2 8 16 0.6597
2 8 17 0.4702
2 8 18 0.2732
2 8 19 0.1009
2 8 20 0.0
2 8 21 0.0
2 8 22 0.0
2 8 23 0.0
2 8 24 0.0
2 9 1 0.0
2 9 2 0.0
2 9 3 0.0
2 9 4 0.0
2 9 5 0.0
2 9 6 0.0987
2 9 7 0.2848
2 9 8 0.5256
2 9 9 0.7665
2 9 10 0.8548
2 9 11 0.9001
2 9 12 0.9152
2 9 13 0.9793
2 9 14 0.8701
2 9 15 0.8758
2 9 16 0.6674
2 9 17 0.48
2 9 18 0.3202
2 9 19 0.0919
2 9 20 0.0
2 9 21 0.0
2 9 22 0.0
2 9 23 0.0
2 9 24 0.0
2 10 1 0.0
2 10 2 0.0
2 10 3 0.0
2 10 4 0.0
2 10 5 0.0
2 10 6 0.0985
2 10 7 0.2756
2 10 8 0.5492
2 10 9 0.6892
2 10 10 0.87
2 10 11 1.0075
2 10 12 1.0519
2 10 13 1.0411
2 10 14 0.9076
2 10 15 0.8913
2 10 16 0.6996
2 10 17 0.5248
2 10 18 0.2929
2 10 19 0.0961
2 10 20 0.0
2 10 21 0.0
2 10 22 0.0
2 10 23 0.0
2 10 24 0.0
2 11 1 0.0
2 11 2 0.0
2 11 3 0.0
2 11 4 0.0
2 11 5 0.0
2 11 6 0.1011
2 11 7 0.3242
2 11 8 0.4638
2 11 9 0.7657
2 11 10 0.8334
2 11 11 1.0073
2 11 12 0.938
2 11 13 0.971
2 11 14 0.992
2 11 15 0.9293
2 11 16 0.6766
2 11 17 0.4825
2 11 18 0.2941
2 11 19 0.0931
2 11 20 0.0
2 11 21 0.0
2 11 22 0.0
2 11 23 0.0
2 11 24 0.0
2 12 1 0.0
2 12 2 0.0
2 12 3 0.0
2 12 4 0.0
2 12 5 0.0
2 12 6 0.0968
2 12 7 0.2835
2 12 8 0.5428
2 12 9 0.6693
2 12 10 0.8425
2 12 11 0.9266
2 12 12 0.9467
2 12 13 1.0222
2 12 14 0.9109
2 12 15 0.9085
2 12 16 0.6769
2 12 17 0.4888
2 12 18 0.2978
2 12 19 0.0916
2 12 20 0.0
2 12 21 0.0
2 12 22 0.0
2 12 23 0.0
2 12 24 0.0
2 13 1 0.0
2 13 2 0.0
2 13 3 0.0
2 13 4 0.0
2 13 5 0.0
2 13 6 0.1074
2 13 7 0.2701
2 13 8 0.49
2 13 9 0.708
2 13 10 0.8765
2 13 11 0.9609
2 13 12 0.973
2 13 13 1.0664
2 13 14 0.9712
2 13 15 0.86
2 13 16 0.6354
2 13 17 0.5103
2 13 18 0.2795
2 13 19 0.0989
2 13 20 0.0
2 13 21 0.0
2 13 22 0.0
2 13 23 0.0
2 13 24 0.0
2 14 1 0.0
2 14 2 0.0
2 14 3 0.0
2 14 4 0.0
2 14 5 0.0
2 14 6 0.096
2 14 7 0.3047
2 14 8 0.4919
2 14 9 0.649
2 14 10 0.8282
2 14 11 0.9325
2 14 12 1.0886
2 14 13 1.0565
2 14 14 0.9669
2 14 15 0.879
2 14 16 0.7576
2 14 17 0.5199
2 14 18 0.3257
2 14 19 0.1077
2 14 20 0.0
2 14 21 0.0
2 14 22 0.0
2 14 23 0.0
2 14 24 0.0
2 15 1 0.0
2 15 2 0.0
2 15 3 0.0
2 15 4 0.0
2 15 5 0.0
2 15 6 0.1043
2 15 7 0.3169
2 15 8 0.4767
2 15 9 0.7691
2 15 10 0.8062
2 15 11 0.9768
2 15 12 0.9239
2 15 13 1.0641
2 15 14 0.9579
2 15 15 0.8323
2 15 16 0.7217
2 15 17 0.5096
2 15 18 0.2868
2 15 19 0.1025
2 15 20 0.0
2 15 21 0.0
2 15 22 0.0
2 15 23 0.0
2 15 24 0.0
2 16 1 0.0
2 16 2 0.0
2 16 3 0.0
2 16 4 0.0
2 16 5 0.0
2 16 6 0.1076
2 16 7 0.2708
2 16 8 0.539
2 16 9 0.7516
2 16 10 0.7728
2 16 11 1.0262
2 16 12 0.9006
2 16 13 0.9467
2 16 14 0.9567
2 16 15 0.8786
2 16 16 0.7161
2 16 17 0.5156
2 16 18 0.3293
2 16 19 0.1084
2 16 20 0.0
2 16 21 0.0
2 16 22 0.0
2 16 23 0.0
2 16 24 0.0
2 17 1 0.0
2 17 2 0.0
2 17 3 0.0
2 17 4 0.0
2 17 5 0.0
2 17 6 0.0984
2 17 7 0.3265
2 17 8 0.5067
2 17 9 0.7084
2 17 10 0.8107
2 17 11 1.0172
2 17 12 1.0245
2 17 13 0.9593
2 17 14 0.8773
2 17 15 0.8271
2 17 16 0.7069
2 17 17 0.5113
2 17 18 0.3001
2 17 19 0.0998
2 17 20 0.0
2 17 21 0.0
2 17 22 0.0
2 17 23 0.0
2 17 24 0.0
2 18 1 0.0
2 18 2 0.0
2 18 3 0.0
2 18 4 0.0
2 18 5 0.0
2 18 6 0.1061
2 18 7 0.2928
2 18 8 0.4828
2 18 9 0.6794
2 18 10 0.9035
2 18 11 0.9714
2 18 12 0.9872
2 18 13 0.898
2 18 14 0.9677
2 18 15 0.9203
2 18 16 0.6535
2 18 17 0.4797
2 18 18 0.3263
2 18 19 0.1079
2 18 20 0.0
2 18 21 0.0
2 18 22 0.0
2 18 23 0.0
2 18 24 0.0
2 19 1 0.0
2 19 2 0.0
2 19 3 0.0
2 19 4 0.0
2 19 5 0.0
2 19 6 0.0926
2 19 7 0.3148
2 19 8 0.5413
2 19 9 0.6953
2 19 10 0.8255
2 19 11 0.9532
2 19 12 0.9311
2 19 13 0.9691
2 19 14 0.8736
2 19 15 0.8434
2 19 16 0.753
2 19 17 0.4819
2 19 18 0.2913
2 19 19 0.0976
2 19 20 0.0
2 19 21 0.0
2 19 22 0.0
2 19 23 0.0
2 19 24 0.0
2 20 1 0.0
2 20 2 0.0
2 20 3 0.0
2 20 4 0.0
2 20 5 0.0
2 20 6 0.0904
2 20 7 0.3104
2 20 8 0.5141
2 20 9 0.6833
2 20 10 0.8457
2 20 11 0.895
2 20 12 0.9041
2 20 13 1.047
2 20 14 0.9562
2 20 15 0.7702
2 20 16 0.7542
2 20 17 0.5211
2 20 18 0.2848
2 20 19 0.1088
2 20 20 0.0
2 20 21 0.0
2 20 22 0.0
2 20 23 0.0
2 20 24 0.0
2 21 1 0.0
2 21 2 0.0
2 21 3 0.0
2 21 4 0.0
2 21 5 0.0
2 21 6 0.106
2 21 7 0.2874
2 21 8 0.4841
2 21 9 0.6712
2 21 10 0.7738
2 21 11 0.9346
2 21 12 0.9761
2 21 13 1.0539
2 21 14 1.0074
2 21 15 0.7956
2 21 16 0.6516
2 21 17 0.5406
2 21 18 0.3085
2 21 19 0.1073
2 21 20 0.0
2 21 21 0.0
2 21 22 0.0
2 21 23 0.0
2 21 24 0.0
2 22 1 0.0
2 22 2 0.0
2 22 3 0.0
2 22 4 0.0
2 22 5 0.0
2 22 6 0.099
2 22 7 0.3063
2 22 8 0.4918
2 22 9 0.6918
2 22 10 0.847
2 22 11 0.9462
2 22 12 1.0783
2 22 13 0.9947
2 22 14 0.942
2 22 15 0.8557
2 22 16 0.6458
2 22 17 0.4726
2 22 18 0.3251
2 22 19 0.1008
2 22 20 0.0
2 22 21 0.0
2 22 22 0.0
2 22 23 0.0
2 22 24 0.0
2 23 1 0.0
2 23 2 0.0
2 23 3 0.0
2 23 4 0.0
2 23 5 0.0
2 23 6 0.1061
2 23 7 0.3218
2 23 8 0.4603
2 23 9 0.6661
2 23 10 0.874
2 23 11 1.0206
2 23 12 0.9187
2 23 13 0.9757
2 23 14 0.9779
2 23 15 0.8894
2 23 16 0.6532
2 23 17 0.4733
2 23 18 0.3164
2 23 19 0.1097
2 23 20 0.0
2 23 21 0.0
2 23 22 0.0
2 23 23 0.0
2 23 24 0.0
2 24 1 0.0
2 24 2 0.0
2 24 3 0.0
2 24 4 0.0
2 24 5 0.0
2 24 6 0.1075
2 24 7 0.3263
2 24 8 0.451
2 24 9 0.7486
2 24 10 0.8342
2 24 11 0.9148
2 24 12 1.0271
2 24 13 1.0347
2 24 14 0.9882
2 24 15 0.8452
2 24 16 0.7466
2 24 17 0.4725
2 24 18 0.2907
2 24 19 0.0944
2 24 20 0.0
2 24 21 0.0
2 24 22 0.0
2 24 23 0.0
2 24 24 0.0
2 25 1 0.0
2 25 2 0.0
2 25 3 0.0
2 25 4 0.0
2 25 5 0.0
2 25 6 0.1087
2 25 7 0.3043
2 25 8 0.4625
2 25 9 0.6371
