
param Demanda :=
1 26 14 0.7813
1 26 15 0.6472
1 26 16 0.6231
1 26 17 0.5421
1 26 18 0.4387
1 26 19 0.6663
1 26 20 0.7559
1 26 21 0.7929
1 26 22 0.7692
1 26 23 0.6749
1 26 24 0.5516
1 27 1 0.2855
1 27 2 0.2494
1 27 3 0.2606
1 27 4 0.2507
1 27 5 0.212
1 27 6 0.4824
1 27 7 0.6514
1 27 8 0.46
1 27 9 0.4153
1 27 10 0.342
1 27 11 0.3715
1 27 12 0.4626
1 27 13 0.4294
1 27 14 0.3858
1 27 15 0.3399
1 27 16 0.4485
1 27 17 0.4492
1 27 18 0.3379
1 27 19 0.6473
1 27 20 0.8148
1 27 21 0.946
1 27 22 0.8416
1 27 23 0.7258
1 27 24 0.3959
1 28 1 0.3186
1 28 2 0.282
1 28 3 0.2481
1 28 4 0.2446
1 28 5 0.2626
1 28 6 0.4295
1 28 7 0.4301
1 28 8 0.3358
1 28 9 0.3445
1 28 10 0.4089
1 28 11 0.3975
1 28 12 0.4605
1 28 13 0.5113
1 28 14 0.4147
1 28 15 0.435
1 28 16 0.4597
1 28 17 0.4337
1 28 18 0.491
1 28 19 0.6938
1 28 20 0.8699
1 28 21 0.955
1 28 22 1.051
1 28 23 0.6435
1 28 24 0.3901
1 29 1 0.2853
1 29 2 0.2968
1 29 3 0.2793
1 29 4 0.2727
1 29 5 0.3349
1 29 6 0.3539
1 29 7 0.3502
1 29 8 0.3856
1 29 9 0.4057
1 29 10 0.4333
1 29 11 0.5485
1 29 12 0.5006
1 29 13 0.5811
1 29 14 0.4865
1 29 15 0.4897
1 29 16 0.3918
1 29 17 0.5542
1 29 18 0.59
1 29 19 0.9179
1 29 20 0.9483
1 29 21 0.9845
1 29 22 0.7251
1 29 23 0.5871
1 29 24 0.4349
1 30 1 0.3157
1 30 2 0.3037
1 30 3 0.2841
1 30 4 0.2641
1 30 5 0.2949
1 30 6 0.306
1 30 7 0.3645
1 30 8 0.3712
1 30 9 0.3906
1 30 10 0.4438
1 30 11 0.4958
1 30 12 0.5616
1 30 13 0.5168
1 30 14 0.5201
1 30 15 0.458
1 30 16 0.39
1 30 17 0.4768
1 30 18 0.5997
1 30 19 0.8805
1 30 20 0.9901
1 30 21 0.8951
1 30 22 0.7336
1 30 23 0.6914
1 30 24 0.4338
1 31 1 0.2856
1 31 2 0.2295
1 31 3 0.2707
1 31 4 0.2525
1 31 5 0.2286
1 31 6 0.4063
1 31 7 0.7475
1 31 8 0.4211
1 31 9 0.4012
1 31 10 0.3425
1 31 11 0.4129
1 31 12 0.525
1 31 13 0.4207
1 31 14 0.36
1 31 15 0.3351
1 31 16 0.3731
1 31 17 0.4518
1 31 18 0.333
1 31 19 0.5805
1 31 20 0.8406
1 31 21 1.0376
1 31 22 0.7753
1 31 23 0.6339
1 31 24 0.3864
1 32 1 0.3131
1 32 2 0.2847
1 32 3 0.2815
1 32 4 0.2836
1 32 5 0.2861
1 32 6 0.3162
1 32 7 0.4027
1 32 8 0.3571
1 32 9 0.4308
1 32 10 0.4871
1 32 11 0.4782
1 32 12 0.5468
1 32 13 0.5336
1 32 14 0.4636
1 32 15 0.4826
1 32 16 0.4428
1 32 17 0.4994
1 32 18 0.602
1 32 19 0.8681
1 32 20 0.9359
1 32 21 0.9685
1 32 22 0.7494
1 32 23 0.665
1 32 24 0.4893
1 33 1 0.2846
1 33 2 0.3049
1 33 3 0.2762
1 33 4 0.2549
1 33 5 0.3022
1 33 6 0.3572
1 33 7 0.4001
1 33 8 0.3427
1 33 9 0.392
1 33 10 0.4754
1 33 11 0.52
1 33 12 0.5529
1 33 13 0.5004
1 33 14 0.5236
1 33 15 0.5073
1 33 16 0.4183
1 33 17 0.4815
1 33 18 0.578
1 33 19 0.9188
1 33 20 1.0522
1 33 21 0.9191
1 33 22 0.7021
1 33 23 0.6089
1 33 24 0.4471
2 2 1 0.2726
2 2 2 0.2714
2 2 3 0.2387
2 2 4 0.2269
2 2 5 0.2394
2 2 6 0.4165
2 2 7 0.7468
2 2 8 0.4466
2 2 9 0.422
2 2 10 0.366
2 2 11 0.4011
2 2 12 0.467
2 2 13 0.3812
2 2 14 0.4143
2 2 15 0.3788
2 2 16 0.382
2 2 17 0.5248
2 2 18 0.3324
2 2 19 0.6454
2 2 20 0.7653
2 2 21 1.0286
2 2 22 0.9351
2 2 23 0.7111
2 2 24 0.3823
2 3 1 0.3474
2 3 2 0.3757
2 3 3 0.3519
2 3 4 0.3136
2 3 5 0.3487
2 3 6 0.3272
2 3 7 0.3897
2 3 8 0.5432
2 3 9 0.5755
2 3 10 0.5358
2 3 11 0.5678
2 3 12 0.9022
2 3 13 0.883
2 3 14 0.7242
2 3 15 0.6174
2 3 16 0.7069
2 3 17 0.5615
2 3 18 0.4758
2 3 19 0.6537
2 3 20 0.6748
2 3 21 0.8751
2 3 22 0.7824
2 3 23 0.6559
2 3 24 0.5174
2 4 1 0.2655
2 4 2 0.2316
2 4 3 0.2506
2 4 4 0.2454
2 4 5 0.226
2 4 6 0.4471
2 4 7 0.7043
2 4 8 0.4353
2 4 9 0.433
2 4 10 0.3326
2 4 11 0.3645
2 4 12 0.4842
2 4 13 0.4161
2 4 14 0.3465
2 4 15 0.3967
2 4 16 0.4016
2 4 17 0.5341
2 4 18 0.3641
2 4 19 0.6685
2 4 20 0.836
2 4 21 1.0411
2 4 22 0.8419
2 4 23 0.7167
2 4 24 0.3809
2 5 1 0.4231
2 5 2 0.4327
2 5 3 0.388
2 5 4 0.3995
2 5 5 0.4186
2 5 6 0.4847
2 5 7 0.6463
2 5 8 0.6202
2 5 9 0.5672
2 5 10 0.5651
2 5 11 0.6638
2 5 12 0.5334
2 5 13 0.6475
2 5 14 0.6647
2 5 15 0.5855
2 5 16 0.5717
2 5 17 0.5073
2 5 18 0.5361
2 5 19 0.6764
2 5 20 0.7534
2 5 21 1.0413
2 5 22 0.7855
2 5 23 0.7277
2 5 24 0.5499
2 6 1 0.4924
2 6 2 0.4166
2 6 3 0.3844
2 6 4 0.398
2 6 5 0.4115
2 6 6 0.4823
2 6 7 0.6408
2 6 8 0.6301
2 6 9 0.6102
2 6 10 0.6428
2 6 11 0.6198
2 6 12 0.5389
2 6 13 0.6482
2 6 14 0.6161
2 6 15 0.6196
2 6 16 0.6221
2 6 17 0.5047
2 6 18 0.5413
2 6 19 0.705
2 6 20 0.8391
2 6 21 1.0701
2 6 22 0.8029
2 6 23 0.6509
2 6 24 0.5741
2 7 1 0.4719
2 7 2 0.4194
2 7 3 0.3461
2 7 4 0.3964
2 7 5 0.4281
2 7 6 0.5396
2 7 7 0.65
2 7 8 0.6518
2 7 9 0.5593
2 7 10 0.6058
2 7 11 0.6103
2 7 12 0.4922
2 7 13 0.6245
2 7 14 0.6805
2 7 15 0.5676
2 7 16 0.6215
2 7 17 0.4357
2 7 18 0.5807
2 7 19 0.6589
2 7 20 0.8788
2 7 21 1.0564
2 7 22 0.7859
2 7 23 0.7251
2 7 24 0.5975
2 8 1 0.3039
2 8 2 0.291
2 8 3 0.2747
2 8 4 0.255
2 8 5 0.2802
2 8 6 0.3533
2 8 7 0.4118
2 8 8 0.365
2 8 9 0.4065
2 8 10 0.5061
2 8 11 0.509
2 8 12 0.4974
2 8 13 0.5288
2 8 14 0.4548
2 8 15 0.4369
2 8 16 0.4179
2 8 17 0.4832
2 8 18 0.5838
2 8 19 0.8537
2 8 20 1.067
2 8 21 0.8651
2 8 22 0.6785
2 8 23 0.5756
2 8 24 0.4586
2 9 1 0.303
2 9 2 0.2876
2 9 3 0.2494
2 9 4 0.249
2 9 5 0.3265
2 9 6 0.3015
2 9 7 0.3423
2 9 8 0.3739
2 9 9 0.4352
2 9 10 0.4467
2 9 11 0.5327
2 9 12 0.5785
2 9 13 0.4888
2 9 14 0.4954
2 9 15 0.5009
2 9 16 0.4101
2 9 17 0.5
2 9 18 0.5997
2 9 19 0.8375
2 9 20 0.9258
2 9 21 0.9206
2 9 22 0.7099
2 9 23 0.6024
2 9 24 0.4619
2 10 1 0.2895
2 10 2 0.2693
2 10 3 0.2371
2 10 4 0.2498
2 10 5 0.2323
2 10 6 0.4122
2 10 7 0.6835
2 10 8 0.4191
2 10 9 0.414
2 10 10 0.3434
2 10 11 0.3687
2 10 12 0.4792
2 10 13 0.3983
2 10 14 0.3456
2 10 15 0.3811
2 10 16 0.4352
2 10 17 0.4611
2 10 18 0.3185
2 10 19 0.5852
2 10 20 0.7648
2 10 21 0.991
2 10 22 0.8651
2 10 23 0.6311
2 10 24 0.3574
2 11 1 0.2932
2 11 2 0.2493
2 11 3 0.2856
2 11 4 0.271
2 11 5 0.2095
2 11 6 0.4413
2 11 7 0.643
2 11 8 0.4839
2 11 9 0.4654
2 11 10 0.3389
2 11 11 0.3568
2 11 12 0.4975
2 11 13 0.3951
2 11 14 0.3996
2 11 15 0.4045
2 11 16 0.3971
2 11 17 0.4604
2 11 18 0.3412
2 11 19 0.5777
2 11 20 0.7647
2 11 21 1.0662
2 11 22 0.8626
2 11 23 0.7327
2 11 24 0.3891
2 12 1 0.4313
2 12 2 0.4307
2 12 3 0.356
2 12 4 0.4838
2 12 5 0.3997
2 12 6 0.4739
2 12 7 0.6952
2 12 8 0.6199
2 12 9 0.6395
2 12 10 0.6421
2 12 11 0.6746
2 12 12 0.5658
2 12 13 0.6224
2 12 14 0.635
2 12 15 0.6176
2 12 16 0.6364
2 12 17 0.4622
2 12 18 0.5498
2 12 19 0.7009
2 12 20 0.7605
2 12 21 0.9305
2 12 22 0.8517
2 12 23 0.6121
2 12 24 0.5963
2 13 1 0.3382
2 13 2 0.387
2 13 3 0.4022
2 13 4 0.3605
2 13 5 0.3144
2 13 6 0.3687
2 13 7 0.368
2 13 8 0.6146
2 13 9 0.5932
2 13 10 0.5522
2 13 11 0.5918
2 13 12 1.0368
2 13 13 0.889
2 13 14 0.6785
2 13 15 0.6502
2 13 16 0.6065
2 13 17 0.523
2 13 18 0.4402
2 13 19 0.5993
2 13 20 0.7956
2 13 21 0.8316
2 13 22 0.7363
2 13 23 0.624
2 13 24 0.5639
2 14 1 0.4605
2 14 2 0.4153
2 14 3 0.3544
2 14 4 0.4696
2 14 5 0.3795
2 14 6 0.5347
2 14 7 0.7259
2 14 8 0.676
2 14 9 0.6272
2 14 10 0.611
2 14 11 0.6853
2 14 12 0.5858
2 14 13 0.5328
2 14 14 0.6268
2 14 15 0.5556
2 14 16 0.6094
2 14 17 0.4434
2 14 18 0.5923
2 14 19 0.7903
2 14 20 0.8302
2 14 21 1.0352
2 14 22 0.7665
2 14 23 0.646
2 14 24 0.6224
2 15 1 0.286
2 15 2 0.2911
2 15 3 0.2532
2 15 4 0.2672
2 15 5 0.3006
2 15 6 0.3443
2 15 7 0.3823
2 15 8 0.3973
2 15 9 0.3768
2 15 10 0.5019
2 15 11 0.5457
2 15 12 0.565
2 15 13 0.5428
2 15 14 0.4881
2 15 15 0.4719
2 15 16 0.3946
2 15 17 0.526
2 15 18 0.5783
2 15 19 0.8692
2 15 20 1.041
2 15 21 0.9596
2 15 22 0.7468
2 15 23 0.6471
2 15 24 0.4598
2 16 1 0.3059
2 16 2 0.254
2 16 3 0.281
2 16 4 0.2253
2 16 5 0.2157
2 16 6 0.4493
2 16 7 0.6509
2 16 8 0.4483
2 16 9 0.4424
2 16 10 0.3536
2 16 11 0.383
2 16 12 0.5068
2 16 13 0.3837
2 16 14 0.3894
2 16 15 0.4056
2 16 16 0.4325
2 16 17 0.5264
2 16 18 0.3733
2 16 19 0.6498
2 16 20 0.8059
2 16 21 0.9249
2 16 22 0.9411
2 16 23 0.6806
2 16 24 0.3809
2 17 1 0.3302
2 17 2 0.38
2 17 3 0.3528
2 17 4 0.3572
2 17 5 0.3111
2 17 6 0.333
2 17 7 0.3618
2 17 8 0.5151
2 17 9 0.6092
2 17 10 0.525
2 17 11 0.6156
2 17 12 1.0626
2 17 13 0.8782
2 17 14 0.7951
2 17 15 0.6463
2 17 16 0.6581
2 17 17 0.5853
2 17 18 0.4938
2 17 19 0.6785
2 17 20 0.755
2 17 21 0.7819
2 17 22 0.72
2 17 23 0.692
2 17 24 0.5588
2 18 1 0.4336
2 18 2 0.4034
2 18 3 0.3854
2 18 4 0.4333
2 18 5 0.4128
2 18 6 0.5513
2 18 7 0.6971
2 18 8 0.6896
2 18 9 0.6171
2 18 10 0.5516
2 18 11 0.6547
2 18 12 0.571
2 18 13 0.5992
2 18 14 0.5746
2 18 15 0.5562
2 18 16 0.6694
2 18 17 0.5247
2 18 18 0.551
2 18 19 0.7267
2 18 20 0.8445
2 18 21 1.0202
2 18 22 0.7372
2 18 23 0.6246
2 18 24 0.5369
2 19 1 0.3256
2 19 2 0.3978
2 19 3 0.3695
2 19 4 0.3144
2 19 5 0.3732
2 19 6 0.3311
2 19 7 0.365
2 19 8 0.5981
2 19 9 0.5765
2 19 10 0.5712
2 19 11 0.6074
2 19 12 1.0052
2 19 13 0.9531
2 19 14 0.7916
2 19 15 0.6369
2 19 16 0.6343
2 19 17 0.588
2 19 18 0.4835
2 19 19 0.6341
2 19 20 0.8027
2 19 21 0.8394
2 19 22 0.6658
2 19 23 0.7073
2 19 24 0.5105
2 20 1 0.354
2 20 2 0.3958
2 20 3 0.3894
2 20 4 0.3145
2 20 5 0.3116
2 20 6 0.39
2 20 7 0.3616
2 20 8 0.5727
2 20 9 0.6511
2 20 10 0.5612
2 20 11 0.57
2 20 12 0.9853
2 20 13 1.0448
2 20 14 0.8061
2 20 15 0.5966
2 20 16 0.6941
2 20 17 0.4928
2 20 18 0.4379
2 20 19 0.5927
2 20 20 0.7927
2 20 21 0.7769
2 20 22 0.7382
2 20 23 0.6106
2 20 24 0.5678
2 21 1 0.3057
2 21 2 0.2706
2 21 3 0.2463
2 21 4 0.2804
2 21 5 0.2167
2 21 6 0.376
2 21 7 0.4716
2 21 8 0.3485
2 21 9 0.3794
2 21 10 0.4514
2 21 11 0.4357
2 21 12 0.4306
2 21 13 0.5406
2 21 14 0.4064
2 21 15 0.4427
2 21 16 0.4431
2 21 17 0.4259
2 21 18 0.4937
2 21 19 0.8365
2 21 20 0.8751
2 21 21 1.064
2 21 22 0.9078
2 21 23 0.5979
2 21 24 0.3484
2 22 1 0.3535
2 22 2 0.4057
2 22 3 0.3526
2 22 4 0.3413
2 22 5 0.3568
2 22 6 0.3577
2 22 7 0.3573
2 22 8 0.591
2 22 9 0.6639
2 22 10 0.5704
2 22 11 0.5991
2 22 12 0.9676
2 22 13 1.0362
2 22 14 0.7658
2 22 15 0.6117
2 22 16 0.6197
2 22 17 0.51
2 22 18 0.4395
2 22 19 0.6407
2 22 20 0.722
2 22 21 0.7929
2 22 22 0.7114
2 22 23 0.6615
2 22 24 0.5249
2 23 1 0.2995
2 23 2 0.2643
2 23 3 0.2365
2 23 4 0.2721
2 23 5 0.2418
2 23 6 0.4243
2 23 7 0.4377
2 23 8 0.3802
2 23 9 0.3428
2 23 10 0.4874
2 23 11 0.4234
