Variable,index0,index1,index2,I.val,P.val,index,Pgd.val,Ps.val,Q.val,Qgd.val,Qs.val,V.val
I,3.0,23.0,13.0,0.43048242566815603,,,,,,,,
I,3.0,23.0,14.0,0.40728739882852927,,,,,,,,
I,3.0,23.0,15.0,0.39480677324351965,,,,,,,,
I,3.0,23.0,16.0,0.4278002914892244,,,,,,,,
I,3.0,23.0,17.0,0.5145274693673301,,,,,,,,
I,3.0,23.0,18.0,0.3822515690190658,,,,,,,,
I,3.0,23.0,19.0,0.6728851345525534,,,,,,,,
I,3.0,23.0,20.0,0.8542576684299102,,,,,,,,
I,3.0,23.0,21.0,1.0130945577876995,,,,,,,,
I,3.0,23.0,22.0,0.8754974683327649,,,,,,,,
I,3.0,23.0,23.0,0.7114391120473816,,,,,,,,
I,3.0,23.0,24.0,0.385369385957062,,,,,,,,
I,4.0,5.0,1.0,0.829731181006008,,,,,,,,
I,4.0,5.0,2.0,0.8110138351976123,,,,,,,,
I,4.0,5.0,3.0,0.7947355629076092,,,,,,,,
I,4.0,5.0,4.0,0.7815415784603379,,,,,,,,
I,4.0,5.0,5.0,0.7498822687071768,,,,,,,,
I,4.0,5.0,6.0,0.955763528695442,,,,,,,,
I,4.0,5.0,7.0,1.1033749201613838,,,,,,,,
I,4.0,5.0,8.0,0.7295272105471612,,,,,,,,
I,4.0,5.0,9.0,0.7807075986401922,,,,,,,,
I,4.0,5.0,10.0,0.8945710086434714,,,,,,,,
I,4.0,5.0,11.0,1.0074421383687515,,,,,,,,
I,4.0,5.0,12.0,1.0606390646008748,,,,,,,,
I,4.0,5.0,13.0,0.9940574723095734,,,,,,,,
I,4.0,5.0,14.0,0.9475898009190832,,,,,,,,
I,4.0,5.0,15.0,0.8786942165998102,,,,,,,,
I,4.0,5.0,16.0,0.7671438888673874,,,,,,,,
I,4.0,5.0,17.0,0.7889065045977379,,,,,,,,
I,4.0,5.0,18.0,0.7591502874811084,,,,,,,,
I,4.0,5.0,19.0,1.6806868827918364,,,,,,,,
I,4.0,5.0,20.0,2.226404765034268,,,,,,,,
I,4.0,5.0,21.0,2.550514192361164,,,,,,,,
I,4.0,5.0,22.0,2.208853908764242,,,,,,,,
I,4.0,5.0,23.0,1.8141656334931044,,,,,,,,
I,4.0,5.0,24.0,1.1758187934185593,,,,,,,,
I,5.0,6.0,1.0,0.8075891572998289,,,,,,,,
I,5.0,6.0,2.0,0.7854758723831246,,,,,,,,
I,5.0,6.0,3.0,0.7692350891157209,,,,,,,,
I,5.0,6.0,4.0,0.7587123197441682,,,,,,,,
I,5.0,6.0,5.0,0.7270433608195378,,,,,,,,
I,5.0,6.0,6.0,0.9323527871011696,,,,,,,,
I,5.0,6.0,7.0,1.0816991280934873,,,,,,,,
I,5.0,6.0,8.0,0.7082144216159093,,,,,,,,
I,5.0,6.0,9.0,0.7756236061029596,,,,,,,,
I,5.0,6.0,10.0,0.9039180867428244,,,,,,,,
I,5.0,6.0,11.0,1.0194019309487794,,,,,,,,
I,5.0,6.0,12.0,1.0625356964490256,,,,,,,,
I,5.0,6.0,13.0,1.0017798011677608,,,,,,,,
I,5.0,6.0,14.0,0.9581386822117943,,,,,,,,
I,5.0,6.0,15.0,0.8868241464590465,,,,,,,,
I,5.0,6.0,16.0,0.7612308981959643,,,,,,,,
I,5.0,6.0,17.0,0.7673714781646226,,,,,,,,
I,5.0,6.0,18.0,0.731319991476215,,,,,,,,
I,5.0,6.0,19.0,1.6392176252208221,,,,,,,,
I,5.0,6.0,20.0,2.178009791435521,,,,,,,,
I,5.0,6.0,21.0,2.4960279213582393,,,,,,,,
I,5.0,6.0,22.0,2.1605845202856977,,,,,,,,
I,5.0,6.0,23.0,1.769446346007751,,,,,,,,
I,5.0,6.0,24.0,1.138708457656167,,,,,,,,
I,6.0,7.0,1.0,0.36979096732524114,,,,,,,,
I,6.0,7.0,2.0,0.36992082499061646,,,,,,,,
I,6.0,7.0,3.0,0.3578127735780145,,,,,,,,
I,6.0,7.0,4.0,0.3483363713625904,,,,,,,,
I,6.0,7.0,5.0,0.3443571058086279,,,,,,,,
I,6.0,7.0,6.0,0.37178144385429474,,,,,,,,
I,6.0,7.0,7.0,0.34098134527124396,,,,,,,,
I,6.0,7.0,8.0,0.2711721576444039,,,,,,,,
I,6.0,7.0,9.0,0.4316627860205933,,,,,,,,
I,6.0,7.0,10.0,0.6086235066434079,,,,,,,,
I,6.0,7.0,11.0,0.6913176806234775,,,,,,,,
I,6.0,7.0,12.0,0.6414255713714405,,,,,,,,
I,6.0,7.0,13.0,0.6495557944852695,,,,,,,,
I,6.0,7.0,14.0,0.6360837763382647,,,,,,,,
I,6.0,7.0,15.0,0.5836231399410083,,,,,,,,
I,6.0,7.0,16.0,0.429355128755257,,,,,,,,
I,6.0,7.0,17.0,0.2812175177939972,,,,,,,,
I,6.0,7.0,18.0,0.26533184960212947,,,,,,,,
I,6.0,7.0,19.0,0.7541828003158132,,,,,,,,
I,6.0,7.0,20.0,1.0405598059990755,,,,,,,,
I,6.0,7.0,21.0,1.1522096776543511,,,,,,,,
I,6.0,7.0,22.0,0.997063297013829,,,,,,,,
I,6.0,7.0,23.0,0.8254575086193058,,,,,,,,
I,6.0,7.0,24.0,0.5382422873145695,,,,,,,,
I,6.0,26.0,1.0,0.4205492742593782,,,,,,,,
I,6.0,26.0,2.0,0.3993211765461359,,,,,,,,
I,6.0,26.0,3.0,0.39766057826351703,,,,,,,,
I,6.0,26.0,4.0,0.3923414541129493,,,,,,,,
I,6.0,26.0,5.0,0.36703562173409515,,,,,,,,
I,6.0,26.0,6.0,0.5404049288896843,,,,,,,,
I,6.0,26.0,7.0,0.7080791438703227,,,,,,,,
I,6.0,26.0,8.0,0.47295128849435564,,,,,,,,
I,6.0,26.0,9.0,0.44756927603066654,,,,,,,,
I,6.0,26.0,10.0,0.4005798478784181,,,,,,,,
I,6.0,26.0,11.0,0.43212466155283263,,,,,,,,
I,6.0,26.0,12.0,0.543162111765331,,,,,,,,
I,6.0,26.0,13.0,0.47180932745286525,,,,,,,,
I,6.0,26.0,14.0,0.4331463921279919,,,,,,,,
I,6.0,26.0,15.0,0.41314014572182944,,,,,,,,
I,6.0,26.0,16.0,0.43712445056081645,,,,,,,,
I,6.0,26.0,17.0,0.5024863763022889,,,,,,,,
I,6.0,26.0,18.0,0.4402100203172462,,,,,,,,
I,6.0,26.0,19.0,0.8600097298847936,,,,,,,,
I,6.0,26.0,20.0,1.1192362260829216,,,,,,,,
I,6.0,26.0,21.0,1.3226786684328522,,,,,,,,
I,6.0,26.0,22.0,1.1495722422962955,,,,,,,,
I,6.0,26.0,23.0,0.9306173833989687,,,,,,,,
I,6.0,26.0,24.0,0.5776116060897369,,,,,,,,
I,7.0,8.0,1.0,0.3039354728047195,,,,,,,,
I,7.0,8.0,2.0,0.29956063049055115,,,,,,,,
I,7.0,8.0,3.0,0.29881195164208857,,,,,,,,
I,7.0,8.0,4.0,0.2870900539143833,,,,,,,,
I,7.0,8.0,5.0,0.27408148744659566,,,,,,,,
I,7.0,8.0,6.0,0.2973605294679535,,,,,,,,
I,7.0,8.0,7.0,0.2680466423770996,,,,,,,,
I,7.0,8.0,8.0,0.283967417777941,,,,,,,,
I,7.0,8.0,9.0,0.47922911536865903,,,,,,,,
I,7.0,8.0,10.0,0.6791379375903555,,,,,,,,
I,7.0,8.0,11.0,0.772085920764372,,,,,,,,
I,7.0,8.0,12.0,0.7096646364838195,,,,,,,,
I,7.0,8.0,13.0,0.7221345722757155,,,,,,,,
I,7.0,8.0,14.0,0.7080387879878992,,,,,,,,
I,7.0,8.0,15.0,0.6507835770552367,,,,,,,,
I,7.0,8.0,16.0,0.47785661693309206,,,,,,,,
I,7.0,8.0,17.0,0.2824442516613535,,,,,,,,
I,7.0,8.0,18.0,0.17387341737353937,,,,,,,,
I,7.0,8.0,19.0,0.5421636276631999,,,,,,,,
I,7.0,8.0,20.0,0.8128600498449473,,,,,,,,
I,7.0,8.0,21.0,0.9483205982625998,,,,,,,,
I,7.0,8.0,22.0,0.82634830888339,,,,,,,,
I,7.0,8.0,23.0,0.6813068441759554,,,,,,,,
I,7.0,8.0,24.0,0.4353815969600729,,,,,,,,
I,8.0,9.0,1.0,0.24011508828535094,,,,,,,,
I,8.0,9.0,2.0,0.24261383734995606,,,,,,,,
I,8.0,9.0,3.0,0.2395949200628614,,,,,,,,
I,8.0,9.0,4.0,0.23018542320788427,,,,,,,,
I,8.0,9.0,5.0,0.2217730884611126,,,,,,,,
I,8.0,9.0,6.0,0.1986399888800563,,,,,,,,
I,8.0,9.0,7.0,0.1724832367916126,,,,,,,,
I,8.0,9.0,8.0,0.327842767877479,,,,,,,,
I,8.0,9.0,9.0,0.5434264042455499,,,,,,,,
I,8.0,9.0,10.0,0.7387808208443881,,,,,,,,
I,8.0,9.0,11.0,0.8355748018082185,,,,,,,,
I,8.0,9.0,12.0,0.7854504412978297,,,,,,,,
I,8.0,9.0,13.0,0.783857020364699,,,,,,,,
I,8.0,9.0,14.0,0.7692484994370118,,,,,,,,
I,8.0,9.0,15.0,0.7102894269695905,,,,,,,,
I,8.0,9.0,16.0,0.5373407007955912,,,,,,,,
I,8.0,9.0,17.0,0.3256007249206712,,,,,,,,
I,8.0,9.0,18.0,0.15654307108697682,,,,,,,,
I,8.0,9.0,19.0,0.4007757244335796,,,,,,,,
I,8.0,9.0,20.0,0.6264577672044345,,,,,,,,
I,8.0,9.0,21.0,0.7189539380976145,,,,,,,,
I,8.0,9.0,22.0,0.6284583676150431,,,,,,,,
I,8.0,9.0,23.0,0.5220130405726334,,,,,,,,
I,8.0,9.0,24.0,0.3526450549630193,,,,,,,,
I,9.0,10.0,1.0,0.22210779211084813,,,,,,,,
I,9.0,10.0,2.0,0.2265384360503926,,,,,,,,
I,9.0,10.0,3.0,0.22288880392498286,,,,,,,,
I,9.0,10.0,4.0,0.21412249174736606,,,,,,,,
I,9.0,10.0,5.0,0.2070056837165629,,,,,,,,
I,9.0,10.0,6.0,0.1725164576625045,,,,,,,,
I,9.0,10.0,7.0,0.1704542675210876,,,,,,,,
I,9.0,10.0,8.0,0.3474562652519392,,,,,,,,
I,9.0,10.0,9.0,0.5659119779512155,,,,,,,,
I,9.0,10.0,10.0,0.7581407774944461,,,,,,,,
I,9.0,10.0,11.0,0.8560645117086477,,,,,,,,
I,9.0,10.0,12.0,0.8114434179097794,,,,,,,,
I,9.0,10.0,13.0,0.8044857057029559,,,,,,,,
I,9.0,10.0,14.0,0.7893426507528948,,,,,,,,
I,9.0,10.0,15.0,0.7298758911656344,,,,,,,,
I,9.0,10.0,16.0,0.5581485072190856,,,,,,,,
I,9.0,10.0,17.0,0.34678088520390493,,,,,,,,
I,9.0,10.0,18.0,0.16132227461051285,,,,,,,,
I,9.0,10.0,19.0,0.36178594241084944,,,,,,,,
I,9.0,10.0,20.0,0.5738046617575221,,,,,,,,
I,9.0,10.0,21.0,0.654151060486332,,,,,,,,
I,9.0,10.0,22.0,0.5726166876403592,,,,,,,,
I,9.0,10.0,23.0,0.47706304815279943,,,,,,,,
I,9.0,10.0,24.0,0.32927032022898595,,,,,,,,
I,10.0,11.0,1.0,0.20344069377951554,,,,,,,,
I,10.0,11.0,2.0,0.2065846740981751,,,,,,,,
I,10.0,11.0,3.0,0.2061663795375353,,,,,,,,
I,10.0,11.0,4.0,0.19675816841147103,,,,,,,,
I,10.0,11.0,5.0,0.18708517014684345,,,,,,,,
I,10.0,11.0,6.0,0.15345928848236584,,,,,,,,
I,10.0,11.0,7.0,0.17433800342484904,,,,,,,,
I,10.0,11.0,8.0,0.3648221151912834,,,,,,,,
I,10.0,11.0,9.0,0.587270249709202,,,,,,,,
I,10.0,11.0,10.0,0.7836338033829525,,,,,,,,
I,10.0,11.0,11.0,0.884860772406703,,,,,,,,
I,10.0,11.0,12.0,0.839939618483969,,,,,,,,
I,10.0,11.0,13.0,0.8327076438332595,,,,,,,,
I,10.0,11.0,14.0,0.8160555489899283,,,,,,,,
I,10.0,11.0,15.0,0.7550250893677297,,,,,,,,
I,10.0,11.0,16.0,0.5798881115626415,,,,,,,,
I,10.0,11.0,17.0,0.3708574788950043,,,,,,,,
I,10.0,11.0,18.0,0.17651802466637745,,,,,,,,
I,10.0,11.0,19.0,0.30343581499708416,,,,,,,,
I,10.0,11.0,20.0,0.5085907102832381,,,,,,,,
I,10.0,11.0,21.0,0.5955969732008373,,,,,,,,
I,10.0,11.0,22.0,0.5237587035711982,,,,,,,,
I,10.0,11.0,23.0,0.4359139151285793,,,,,,,,
I,10.0,11.0,24.0,0.29999718192905844,,,,,,,,
I,11.0,12.0,1.0,0.18539303634968743,,,,,,,,
I,11.0,12.0,2.0,0.18582907071440802,,,,,,,,
I,11.0,12.0,3.0,0.1854052236364066,,,,,,,,
I,11.0,12.0,4.0,0.1782068236993571,,,,,,,,
I,11.0,12.0,5.0,0.16855225511076338,,,,,,,,
I,11.0,12.0,6.0,0.1341264290567669,,,,,,,,
I,11.0,12.0,7.0,0.17477501938257722,,,,,,,,
I,11.0,12.0,8.0,0.38281930427363026,,,,,,,,
I,11.0,12.0,9.0,0.6097787025760154,,,,,,,,
I,11.0,12.0,10.0,0.8036930229993486,,,,,,,,
I,11.0,12.0,11.0,0.9065483038404525,,,,,,,,
I,11.0,12.0,12.0,0.8760939843427863,,,,,,,,
I,11.0,12.0,13.0,0.8675296189033059,,,,,,,,
I,11.0,12.0,14.0,0.8440243052307383,,,,,,,,
I,11.0,12.0,15.0,0.7800012545541712,,,,,,,,
I,11.0,12.0,16.0,0.6032973959535403,,,,,,,,
I,11.0,12.0,17.0,0.38771340706116286,,,,,,,,
I,11.0,12.0,18.0,0.18449703077131296,,,,,,,,
I,11.0,12.0,19.0,0.26837477145955224,,,,,,,,
I,11.0,12.0,20.0,0.46790125378323555,,,,,,,,
I,11.0,12.0,21.0,0.5494131250972414,,,,,,,,
I,11.0,12.0,22.0,0.48304978415803596,,,,,,,,
I,11.0,12.0,23.0,0.3985282464410076,,,,,,,,
I,11.0,12.0,24.0,0.269629199922504,,,,,,,,
I,12.0,13.0,1.0,0.16559160118573746,,,,,,,,
I,12.0,13.0,2.0,0.16816962349856365,,,,,,,,
I,12.0,13.0,3.0,0.16703734301314602,,,,,,,,
I,12.0,13.0,4.0,0.16056506703110393,,,,,,,,
I,12.0,13.0,5.0,0.15233872400767526,,,,,,,,
I,12.0,13.0,6.0,0.10498678587216849,,,,,,,,
I,12.0,13.0,7.0,0.1880614074127014,,,,,,,,
I,12.0,13.0,8.0,0.40359700274238525,,,,,,,,
I,12.0,13.0,9.0,0.6323695068396686,,,,,,,,
I,12.0,13.0,10.0,0.8228384418803922,,,,,,,,
I,12.0,13.0,11.0,0.9267904490895607,,,,,,,,
I,12.0,13.0,12.0,0.9021409338259374,,,,,,,,
I,12.0,13.0,13.0,0.8881029580362784,,,,,,,,
I,12.0,13.0,14.0,0.8639725630680632,,,,,,,,
I,12.0,13.0,15.0,0.7994508144390191,,,,,,,,
I,12.0,13.0,16.0,0.6242210627467815,,,,,,,,
I,12.0,13.0,17.0,0.4106900418802215,,,,,,,,
I,12.0,13.0,18.0,0.1958488831479823,,,,,,,,
I,12.0,13.0,19.0,0.22435038725491632,,,,,,,,
I,12.0,13.0,20.0,0.40952689232228745,,,,,,,,
I,12.0,13.0,21.0,0.47745916503037,,,,,,,,
I,12.0,13.0,22.0,0.42105232740366005,,,,,,,,
I,12.0,13.0,23.0,0.3487538782937271,,,,,,,,
I,12.0,13.0,24.0,0.2439178201996939,,,,,,,,
I,13.0,14.0,1.0,0.1443756098963528,,,,,,,,
I,13.0,14.0,2.0,0.14909557699015977,,,,,,,,
I,13.0,14.0,3.0,0.14866586473443855,,,,,,,,
I,13.0,14.0,4.0,0.14151378698301098,,,,,,,,
I,13.0,14.0,5.0,0.13542204841946204,,,,,,,,
I,13.0,14.0,6.0,0.07935959432874096,,,,,,,,
I,13.0,14.0,7.0,0.20244514703614971,,,,,,,,
I,13.0,14.0,8.0,0.4215217393729181,,,,,,,,
I,13.0,14.0,9.0,0.651324248856769,,,,,,,,
I,13.0,14.0,10.0,0.8471337065910965,,,,,,,,
I,13.0,14.0,11.0,0.9489023718739292,,,,,,,,
I,13.0,14.0,12.0,0.9256142060874382,,,,,,,,
I,13.0,14.0,13.0,0.9174944659487168,,,,,,,,
I,13.0,14.0,14.0,0.8847515865715979,,,,,,,,
I,13.0,14.0,15.0,0.8213585786263348,,,,,,,,
I,13.0,14.0,16.0,0.647835342462962,,,,,,,,
I,13.0,14.0,17.0,0.43415948822076816,,,,,,,,
I,13.0,14.0,18.0,0.21726033778054926,,,,,,,,
I,13.0,14.0,19.0,0.16891038076833256,,,,,,,,
I,13.0,14.0,20.0,0.343727869639056,,,,,,,,
I,13.0,14.0,21.0,0.4066488595582461,,,,,,,,
I,13.0,14.0,22.0,0.34870510327202003,,,,,,,,
I,13.0,14.0,23.0,0.3024623042582974,,,,,,,,
I,13.0,14.0,24.0,0.21746504549899037,,,,,,,,
I,14.0,15.0,1.0,0.10402393168227941,,,,,,,,
I,14.0,15.0,2.0,0.11306965392770436,,,,,,,,
I,14.0,15.0,3.0,0.11117783739738002,,,,,,,,
I,14.0,15.0,4.0,0.10555979569914024,,,,,,,,
I,14.0,15.0,5.0,0.10236185163166826,,,,,,,,
I,14.0,15.0,6.0,0.040082153869746714,,,,,,,,
I,14.0,15.0,7.0,0.26599762871638477,,,,,,,,
I,14.0,15.0,8.0,0.4675874530527859,,,,,,,,
I,14.0,15.0,9.0,0.6987974932591852,,,,,,,,
I,14.0,15.0,10.0,0.8865682741183177,,,,,,,,
I,14.0,15.0,11.0,0.990382910287239,,,,,,,,
I,14.0,15.0,12.0,0.9798106858538256,,,,,,,,
I,14.0,15.0,13.0,0.9601672851012707,,,,,,,,
I,14.0,15.0,14.0,0.9257692640666704,,,,,,,,
I,14.0,15.0,15.0,0.8614829136820943,,,,,,,,
I,14.0,15.0,16.0,0.6919758062733705,,,,,,,,
I,14.0,15.0,17.0,0.486058292128374,,,,,,,,
I,14.0,15.0,18.0,0.25000480374013967,,,,,,,,
I,14.0,15.0,19.0,0.07809009312647479,,,,,,,,
I,14.0,15.0,20.0,0.22411113488386852,,,,,,,,
I,14.0,15.0,21.0,0.25903635057886404,,,,,,,,
I,14.0,15.0,22.0,0.22158787008255076,,,,,,,,
I,14.0,15.0,23.0,0.2005009363461328,,,,,,,,
I,14.0,15.0,24.0,0.16493788296451523,,,,,,,,
I,15.0,16.0,1.0,0.0762971425553592,,,,,,,,
I,15.0,16.0,2.0,0.08783882816619733,,,,,,,,
I,15.0,16.0,3.0,0.08780756971402673,,,,,,,,
I,15.0,16.0,4.0,0.07849487471962541,,,,,,,,
I,15.0,16.0,5.0,0.07840936689659324,,,,,,,,
I,15.0,16.0,6.0,0.05944886788895818,,,,,,,,
I,15.0,16.0,7.0,0.3065662909807471,,,,,,,,
I,15.0,16.0,8.0,0.5074347867058584,,,,,,,,
I,15.0,16.0,9.0,0.733113735177,,,,,,,,
I,15.0,16.0,10.0,0.9205674345929661,,,,,,,,
I,15.0,16.0,11.0,1.0265179745903115,,,,,,,,
I,15.0,16.0,12.0,1.0108201006799094,,,,,,,,
I,15.0,16.0,13.0,0.9939784018457275,,,,,,,,
I,15.0,16.0,14.0,0.961367253592699,,,,,,,,
I,15.0,16.0,15.0,0.8960497464884802,,,,,,,,
I,15.0,16.0,16.0,0.7274279529902653,,,,,,,,
I,15.0,16.0,17.0,0.5143103865083205,,,,,,,,
I,15.0,16.0,18.0,0.2814994445410379,,,,,,,,
I,15.0,16.0,19.0,0.05246845897941275,,,,,,,,
I,15.0,16.0,20.0,0.17256277160482733,,,,,,,,
I,15.0,16.0,21.0,0.19618309918804772,,,,,,,,
I,15.0,16.0,22.0,0.17256277160239938,,,,,,,,
I,15.0,16.0,23.0,0.15838844877659838,,,,,,,,
I,15.0,16.0,24.0,0.12880173642183818,,,,,,,,
I,16.0,17.0,1.0,0.05486283635528729,,,,,,,,
I,16.0,17.0,2.0,0.0631641894714082,,,,,,,,
I,16.0,17.0,3.0,0.06314170040901307,,,,,,,,
I,16.0,17.0,4.0,0.05644349396466997,,,,,,,,
I,16.0,17.0,5.0,0.056381979942825435,,,,,,,,
I,16.0,17.0,6.0,0.0770024596516242,,,,,,,,
I,16.0,17.0,7.0,0.3285044082297492,,,,,,,,
I,16.0,17.0,8.0,0.5405267750036669,,,,,,,,
I,16.0,17.0,9.0,0.7688110424363361,,,,,,,,
I,16.0,17.0,10.0,0.950249550414311,,,,,,,,
I,16.0,17.0,11.0,1.0583198894280472,,,,,,,,
I,16.0,17.0,12.0,1.0675046097807224,,,,,,,,
I,16.0,17.0,13.0,1.0477418718237466,,,,,,,,
I,16.0,17.0,14.0,1.0033862567594392,,,,,,,,
I,16.0,17.0,15.0,0.9336759322621191,,,,,,,,
I,16.0,17.0,16.0,0.7648165311846468,,,,,,,,
I,16.0,17.0,17.0,0.5457783134773521,,,,,,,,
